30 276
2 3 4 5 6 7 8 9 10 11 21
1 3 4 5 6 7 8 9 10
1 2 4 5 6 7 8 9 10
1 2 3 5 6 7 8 9 10
1 2 3 4 6 7 8 9 10
1 2 3 4 5 7 8 9 10
1 2 3 4 5 6 8 9 10
1 2 3 4 5 6 7 9 10
1 2 3 4 5 6 7 8 10
1 2 3 4 5 6 7 8 9
1 12 13 14 15 16 17 18 19 20 21
11 13 14 15 16 17 18 19 20
11 12 14 15 16 17 18 19 20
11 12 13 15 16 17 18 19 20
11 12 13 14 16 17 18 19 20
11 12 13 14 15 17 18 19 20
11 12 13 14 15 16 18 19 20
11 12 13 14 15 16 17 19 20
11 12 13 14 15 16 17 18 20
11 12 13 14 15 16 17 18 19
1 11 22 23 24 25 26 27 28 29 30
21 23 24 25 26 27 28 29 30
21 22 24 25 26 27 28 29 30
21 22 23 25 26 27 28 29 30
21 22 23 24 26 27 28 29 30
21 22 23 24 25 27 28 29 30
21 22 23 24 25 26 28 29 30
21 22 23 24 25 26 27 29 30
21 22 23 24 25 26 27 28 30
21 22 23 24 25 26 27 28 29
